[2024-05-24 11:17:16,041: INFO: main: >>>>>> started <<<<<<]
[2024-05-24 18:44:33,917: INFO: common: yaml file loaded from config\config.yaml]
[2024-05-24 18:44:33,922: INFO: common: yaml file loaded from params.yaml]
[2024-05-24 18:45:06,251: INFO: common: yaml file loaded from config\config.yaml]
[2024-05-24 18:45:06,272: INFO: common: yaml file loaded from params.yaml]
[2024-05-24 18:45:06,276: INFO: common: created directory at artifacts]
[2024-05-24 18:45:06,279: INFO: common: created directory at artifacts/data_ingestion]
[2024-05-24 18:46:01,556: INFO: common: yaml file loaded from config\config.yaml]
[2024-05-24 18:46:01,562: INFO: common: yaml file loaded from params.yaml]
[2024-05-24 18:46:01,567: INFO: common: created directory at artifacts]
[2024-05-24 18:46:01,572: INFO: common: created directory at artifacts/data_ingestion]
[2024-05-25 10:21:22,017: INFO: common: yaml file loaded from config\config.yaml]
[2024-05-25 10:21:22,027: INFO: common: yaml file loaded from params.yaml]
[2024-05-25 10:21:22,030: INFO: common: created directory at artifacts]
[2024-05-25 10:21:22,034: INFO: common: created directory at artifacts/data_ingestion]
[2024-05-25 10:35:09,106: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-25 10:35:09,108: INFO: common: yaml file loaded from config\config.yaml]
[2024-05-25 10:35:09,108: INFO: common: yaml file loaded from params.yaml]
[2024-05-25 10:35:09,109: INFO: common: created directory at artifacts]
[2024-05-25 10:35:09,109: INFO: common: created directory at artifacts/data_ingestion]
[2024-05-25 10:35:09,109: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
